/opt/hostedtoolcache/Python/3.11.14/arm64/lib/python3.11/site-packages/mlflow/tracking/_tracking_service/utils.py:178: FutureWarning: The filesystem tracking backend (e.g., './mlruns') will be deprecated in February 2026. Consider transitioning to a database backend (e.g., 'sqlite:///mlflow.db') to take advantage of the latest MLflow features. See https://github.com/mlflow/mlflow/issues/18534 for more details and migration guidance. For migrating existing data, https://github.com/mlflow/mlflow-export-import can be used.
  return FileStore(store_uri, store_uri)
2026/02/04 05:37:05 INFO mlflow.tracking.fluent: Experiment with name 'salary_prediction' does not exist. Creating a new experiment.
2026-02-04 05:37:05,216 - DataMerger - INFO - Data merger initialized. Log file: logs/data_merge_20260204_053705.log
2026-02-04 05:37:05,216 - DataMerger - INFO - Applying training profile: all
2026-02-04 05:37:05,216 - DataMerger - INFO -   Description: Train on all available sources (H1B + LinkedIn + Adzuna)
2026-02-04 05:37:05,216 - DataMerger - INFO -   h1b: enabled
2026-02-04 05:37:05,216 - DataMerger - INFO -   adzuna: enabled
2026-02-04 05:37:05,216 - DataMerger - INFO -   linkedin: enabled
--- Model Training ---

MLFlow tracking URI: file:./mlruns
MLFlow experiment: salary_prediction

Loading data...

Using training profile: all
Loaded 37266 records from merged data

Filtering to recent data (last 2 years: 2025-2026)
  Kept 26715 / 37266 records (71.7%)
  Renaming location_state to worksite_state for feature engineering

Engineering features...

Prepared 26441 samples with 30 features
Target column: annual_salary

Creating train/test split...
  Train: 18507 samples (70.0%)
  Val:   3967 samples (15.0%)
  Test:  3967 samples (15.0%)

Training XGBoost model...
MLFlow run ID: dd22d3a0c9f444bf875bf04efb25a384
Training XGBoost salary prediction model...
Training samples: 18507
Features: 29
Validation samples: 3967
[0]	validation_0-rmse:110191.40130	validation_1-rmse:108541.02588
[1]	validation_0-rmse:107123.77919	validation_1-rmse:105596.92839
[2]	validation_0-rmse:103114.23394	validation_1-rmse:102034.04181
[3]	validation_0-rmse:100095.32296	validation_1-rmse:99505.41571
[4]	validation_0-rmse:98302.42853	validation_1-rmse:97757.68429
[5]	validation_0-rmse:95796.59787	validation_1-rmse:95458.79341
[6]	validation_0-rmse:93468.55075	validation_1-rmse:93336.61642
[7]	validation_0-rmse:91525.44063	validation_1-rmse:91565.05000
[8]	validation_0-rmse:89915.87516	validation_1-rmse:90100.37670
[9]	validation_0-rmse:88634.29002	validation_1-rmse:88997.01396
[10]	validation_0-rmse:87552.01872	validation_1-rmse:87987.65290
[11]	validation_0-rmse:86353.67003	validation_1-rmse:86919.17798
[12]	validation_0-rmse:85269.69480	validation_1-rmse:85898.88122
[13]	validation_0-rmse:84411.45015	validation_1-rmse:85054.34619
[14]	validation_0-rmse:83454.81085	validation_1-rmse:84157.32828
[15]	validation_0-rmse:82959.20554	validation_1-rmse:83634.54910
[16]	validation_0-rmse:82228.41793	validation_1-rmse:82996.02785
[17]	validation_0-rmse:81540.17051	validation_1-rmse:82433.63202
[18]	validation_0-rmse:81047.38850	validation_1-rmse:82006.82753
[19]	validation_0-rmse:80670.74979	validation_1-rmse:81599.49183
[20]	validation_0-rmse:80080.48906	validation_1-rmse:80971.41354
[21]	validation_0-rmse:79479.83019	validation_1-rmse:80413.85801
[22]	validation_0-rmse:79061.10281	validation_1-rmse:80010.18530
[23]	validation_0-rmse:78515.83031	validation_1-rmse:79519.73986
[24]	validation_0-rmse:78132.19543	validation_1-rmse:79169.62539
[25]	validation_0-rmse:77727.96244	validation_1-rmse:78820.97330
[26]	validation_0-rmse:77418.54964	validation_1-rmse:78560.59850
